id_solicitante,inadimplente
20001,0
20002,0
20003,1
20004,0
20005,1
20006,0
20007,1
20008,0
20009,1
20010,1
20011,1
20012,1
20013,1
20014,1
20015,1
20016,1
20017,1
20018,1
20019,1
20020,1
20021,0
20022,1
20023,1
20024,1
20025,1
20026,0
20027,1
20028,1
20029,0
20030,0
20031,1
20032,0
20033,0
20034,0
20035,1
20036,1
20037,0
20038,0
20039,0
20040,1
20041,1
20042,0
20043,0
20044,1
20045,1
20046,0
20047,0
20048,0
20049,0
20050,1
20051,0
20052,1
20053,1
20054,1
20055,0
20056,1
20057,0
20058,0
20059,1
20060,0
20061,0
20062,0
20063,0
20064,0
20065,1
20066,0
20067,1
20068,0
20069,1
20070,1
20071,0
20072,0
20073,0
20074,0
20075,0
20076,0
20077,0
20078,1
20079,0
20080,0
20081,1
20082,1
20083,0
20084,1
20085,1
20086,0
20087,1
20088,1
20089,1
20090,0
20091,0
20092,0
20093,0
20094,1
20095,1
20096,0
20097,0
20098,0
20099,1
20100,1
20101,1
20102,1
20103,1
20104,0
20105,1
20106,0
20107,1
20108,1
20109,0
20110,1
20111,1
20112,1
20113,1
20114,0
20115,1
20116,1
20117,1
20118,1
20119,0
20120,1
20121,1
20122,1
20123,1
20124,0
20125,0
20126,1
20127,0
20128,0
20129,0
20130,0
20131,1
20132,0
20133,1
20134,1
20135,1
20136,1
20137,0
20138,0
20139,1
20140,1
20141,0
20142,1
20143,0
20144,0
20145,1
20146,1
20147,0
20148,1
20149,0
20150,0
20151,1
20152,0
20153,1
20154,1
20155,1
20156,1
20157,0
20158,1
20159,0
20160,1
20161,1
20162,0
20163,1
20164,1
20165,1
20166,1
20167,0
20168,1
20169,1
20170,1
20171,1
20172,1
20173,1
20174,0
20175,1
20176,0
20177,0
20178,0
20179,1
20180,0
20181,0
20182,1
20183,1
20184,1
20185,1
20186,1
20187,0
20188,0
20189,0
20190,1
20191,0
20192,0
20193,0
20194,0
20195,1
20196,0
20197,1
20198,0
20199,0
20200,1
20201,1
20202,1
20203,1
20204,1
20205,0
20206,0
20207,0
20208,0
20209,0
20210,0
20211,1
20212,1
20213,1
20214,1
20215,1
20216,1
20217,0
20218,1
20219,1
20220,0
20221,0
20222,0
20223,1
20224,0
20225,1
20226,1
20227,1
20228,0
20229,0
20230,0
20231,1
20232,1
20233,1
20234,0
20235,0
20236,1
20237,1
20238,0
20239,1
20240,0
20241,1
20242,0
20243,0
20244,1
20245,1
20246,1
20247,0
20248,1
20249,1
20250,0
20251,0
20252,1
20253,1
20254,1
20255,1
20256,1
20257,0
20258,1
20259,0
20260,0
20261,0
20262,1
20263,0
20264,1
20265,0
20266,1
20267,1
20268,1
20269,0
20270,0
20271,0
20272,1
20273,0
20274,0
20275,0
20276,0
20277,1
20278,1
20279,1
20280,1
20281,0
20282,0
20283,1
20284,1
20285,0
20286,0
20287,0
20288,0
20289,0
20290,0
20291,0
20292,0
20293,1
20294,1
20295,0
20296,0
20297,0
20298,1
20299,1
20300,1
20301,0
20302,1
20303,1
20304,1
20305,0
20306,1
20307,0
20308,0
20309,1
20310,1
20311,1
20312,1
20313,1
20314,1
20315,0
20316,1
20317,1
20318,1
20319,0
20320,0
20321,1
20322,0
20323,0
20324,0
20325,1
20326,0
20327,0
20328,1
20329,1
20330,0
20331,0
20332,1
20333,1
20334,0
20335,1
20336,0
20337,1
20338,0
20339,1
20340,1
20341,0
20342,1
20343,1
20344,0
20345,1
20346,0
20347,1
20348,0
20349,0
20350,1
20351,0
20352,0
20353,1
20354,0
20355,1
20356,1
20357,1
20358,1
20359,0
20360,1
20361,1
20362,0
20363,1
20364,0
20365,1
20366,1
20367,0
20368,1
20369,0
20370,1
20371,1
20372,1
20373,0
20374,0
20375,0
20376,0
20377,1
20378,0
20379,1
20380,1
20381,0
20382,0
20383,0
20384,1
20385,0
20386,1
20387,1
20388,1
20389,1
20390,1
20391,0
20392,1
20393,0
20394,1
20395,1
20396,0
20397,1
20398,0
20399,1
20400,0
20401,1
20402,1
20403,0
20404,1
20405,0
20406,1
20407,0
20408,0
20409,1
20410,1
20411,1
20412,0
20413,0
20414,1
20415,0
20416,1
20417,1
20418,0
20419,1
20420,0
20421,0
20422,1
20423,0
20424,0
20425,0
20426,0
20427,1
20428,1
